protein,l2FC,Q1,Q3,p,padj
AGPAT6,-0.3282444501068582,-0.48897328114282956,-0.1886572410657692,0.09523809523809523,0.18343155185260446
AGPAT9L,-0.029417125461833393,-0.20257430181588987,0.006437810704152724,0.5476190476190477,0.6446497917546431
AGPS,-0.035642893886080884,-0.20775711022037768,0.0732996425612562,0.5476190476190477,0.6446497917546431
AGTPBP1,-0.32071911331944136,-0.5953185150487812,-0.17103157840059957,0.15079365079365079,0.24347078842666725
AGTRAP,0.5064895000898879,0.3243582876913216,0.7439211975183895,0.031746031746031744,0.08356167765187983
AGXT2,0.9432598150700002,0.6696511115436401,1.5511385251177394,0.007936507936507936,0.034027966263558404
AGXT2L2,-0.24380664783630124,-0.6177481843625898,-0.12383969281937013,0.031746031746031744,0.08356167765187983
AGXTB,0.22352690284263588,-0.5146456250698428,1.0752128160241732,0.8412698412698413,0.8830072597514458
AHCTF1,-0.4364344688958042,-0.555165804622554,-0.07151851269646414,0.2222222222222222,0.32486384030327026
AHCY,0.009619633926607918,-0.07317574431363738,0.09841085342312184,1,1
AHCYL2,-0.5763341304389513,-0.63830628629578,-0.20687235183953234,0.015873015873015872,0.051195958770994504
AHNAK,-0.5194764037242372,-0.8021207580033121,-0.2914947717901093,0.015873015873015872,0.051195958770994504
AHSA1L,0.06894902226245136,-0.12197807509076952,0.17830506382676248,0.8412698412698413,0.8830072597514458
AHSG,0.7480506154034892,0.3354993902540606,1.598554333083431,0.031746031746031744,0.08356167765187983
AIF1,1.1832431516352493,0.7251843330433694,1.3762139581979262,0.007936507936507936,0.034027966263558404
AIM1A,-0.3071353484320305,-0.33901354903538916,-0.11201599463456091,0.09523809523809523,0.18343155185260446
AIM1B,-0.3630018661775374,-0.47683846522064854,-0.21448115502212772,0.05555555555555555,0.1246639413692778
AIMP1,-0.5203408252650377,-0.7270384633714286,-0.45507511320805705,0.007936507936507936,0.034027966263558404
AIMP2,-0.33101545280874944,-0.40903764539467957,-0.2624557432183039,0.007936507936507936,0.034027966263558404
AIOLOS,-0.3548315182827704,-0.832950433568989,1.3246732047100807e-4,0.30952380952380953,0.4197668650793651
AIP,0.25575054184505674,-0.04097671424126048,0.29966208315507714,0.42063492063492064,0.5304952333640859
AK1,0.8291254176754599,0.36300426127760055,1.0902777653826021,0.09523809523809523,0.18343155185260446
AK2,-0.11323834782861653,-0.30038010146601124,-0.04674215824886119,0.15079365079365079,0.24347078842666725
AK3,0.026800208548081628,-0.3348357566940088,0.7333621846103,0.8412698412698413,0.8830072597514458
AK4,0.9750695610970865,0.6985799862996593,1.1161857946251708,0.007936507936507936,0.034027966263558404
AKAP10,-0.2044952619737188,-0.34119095714688186,-0.08609148377870213,0.09523809523809523,0.18343155185260446
AKAP11,0.10672392060136104,-0.16645842293067048,0.34936295886994984,0.8412698412698413,0.8830072597514458
AKAP12B,-0.18940200092082193,-0.27031243344224976,0.05017360094331025,0.5476190476190477,0.6446497917546431
AKAP13,0.18929236377824665,-0.03652843395671823,0.26429521534732103,0.42063492063492064,0.5304952333640859
AKAP17A,0.1777115731506207,0.09401061747080064,0.2733822954404914,0.09523809523809523,0.18343155185260446
AKAP7,-0.08333958018536158,-0.3111710042744509,0.07091178392084174,0.42063492063492064,0.5304952333640859
AKAP8L,0.05026592507668681,-0.02401176813922845,0.18900131652423013,0.42063492063492064,0.5304952333640859
AKR1A1A,1.0618969733099313,0.6171012603003803,1.919120134978769,0.015873015873015872,0.051195958770994504
AKR1A1B,0.5465347788438812,0.22657340653925928,0.6871473179828094,0.15079365079365079,0.24347078842666725
AKR7A3,0.5237444114758318,0.39031948791160076,0.5580870317220992,0.007936507936507936,0.034027966263558404
AKT1,-0.041240764252840734,-0.22449270748890982,0.005036074763729914,0.42063492063492064,0.5304952333640859
AKT1S1,-0.1654665056219109,-0.24235949140701862,0.015269430662389283,0.30952380952380953,0.4197668650793651
AKT2L,-0.11489776497869997,-0.292783093448886,-0.0373307062838002,0.15079365079365079,0.24347078842666725
AKT3,-0.34783708114949974,-0.5020258900424892,-0.2624975641500882,0.007936507936507936,0.034027966263558404
AKTIP,0.7981640454566623,0.7038292710371401,0.8896836260259704,0.015873015873015872,0.051195958770994504
AL928657.1,0.2830342531262495,0.12726123033798942,0.5175142083715905,0.05555555555555555,0.1246639413692778
AL928724.1,-0.3694474858019703,-0.5480081207503176,0.8012548052683908,0.6904761904761905,0.7649359858490934
AL929007.1,0.08468525515542069,-0.18638285083840955,0.16984424747843008,0.8412698412698413,0.8830072597514458
AL929039.2,0.7966338043577998,0.4130278862054997,0.8613056335303,0.007936507936507936,0.034027966263558404
AL929115.2,0.23402087634194757,0.16561742923949652,0.7152305990015613,0.05555555555555555,0.1246639413692778
AL929222.1,0.11294748385367015,-0.06307712627010176,0.2017283851486198,0.42063492063492064,0.5304952333640859
AL929434.1,0.21103032994784954,-0.29916698125036945,0.4282776017304819,1,1
